23.7	1	1	1
62.4	1	1	1
170.4	1	1	1
254.7	1	1	1
257.4	1	1	1
39.0	1	1	8
41.7	1	1	8
56.4	1	1	8
75.0	1	1	8
131.4	1	1	8
159.0	1	1	8
167.7	1	1	8
195.0	1	1	8
246.0	1	1	8
288.0	1	1	8
11.4	1	1	2
87.0	1	1	2
143.4	1	1	2
162.0	1	1	2
230.7	1	1	2
15.0	1	1	3
20.7	1	1	3
29.7	1	1	3
89.7	1	1	3
119.4	1	1	3
146.7	1	1	3
236.7	1	1	3
284.4	1	1	3
293.4	1	1	3
296.7	1	1	3
8.7	1	1	4
59.7	1	1	4
149.4	1	1	4
176.7	1	1	4
188.4	1	1	4
218.7	1	1	4
224.7	1	1	4
248.4	1	1	4
266.7	1	1	4
269.7	1	1	4
33.0	1	1	5
96.0	1	1	5
122.7	1	1	5
140.4	1	1	5
156.0	1	1	5
203.7	1	1	5
207.0	1	1	5
210.0	1	1	5
264.0	1	1	5
278.4	1	1	5
26.7	1	1	6
71.4	1	1	6
116.7	1	1	6
212.7	1	1	6
215.7	1	1	6
18.0	1	1	7
69.0	1	1	7
227.7	1	1	7
275.4	1	1	7
291.0	1	1	7
